time,latitude,longitude,depth,magnitude,place,
1.45E+12,29.3985,81.6541,10,5.4,"53 km WNW of Jumla, Nepal",
1.45E+12,27.8525,85.6776,16.51,5,"21 km NE of Nagarkot, Nepal",
1.44E+12,27.8355,86.0795,10,5,"18 km SE of Kodari??, Nepal","Kodari,Nepal"
1.43E+12,27.5603,86.0734,7,5.5,"45 km SSE of Kod?ri??, Nepal","Kodari,Nepal"
1.43E+12,27.7199,86.0503,8.38,5,"28 km SSE of Kod?ri??, Nepal","Kodari,Nepal"
1.43E+12,27.783,84.6384,10,5.2,"23 km ENE of Bharatpur, Nepal",
1.43E+12,27.7298,86.1316,15,5.2,"30 km SE of Kod?ri??, Nepal","Kodari,Nepal"
1.43E+12,27.7629,85.7574,15,5.1,"23 km ENE of Nagarkot, Nepal",
1.43E+12,27.7221,86.0161,15,5,"27 km SSE of Kodari, Nepal",
1.43E+12,27.625,86.1617,15,6.3,"42 km SSE of Kodari, Nepal",
1.43E+12,27.7458,86.2449,10,5.4,"37 km SE of Kodari, Nepal",
1.43E+12,27.5589,86.2566,10,5,"52 km WSW of Namche Bazar, Nepal",
1.43E+12,27.7141,86.2177,13.01,5.5,"37 km SE of Kod?ri??, Nepal","Kodari,Nepal"
1.43E+12,27.8087,86.0655,15,7.3,Nepal,
1.43E+12,26.8644,88.055,31.71,5.1,"13 km ESE of Il?m, Nepal","Ilam,Nepal"
1.43E+12,27.8297,85.865,14,5,"17 km SSW of Kod?ri??, Nepal","Kodari,Nepal"
1.43E+12,27.7711,86.0173,22.91,6.7,"21 km SSE of Kod?ri??, Nepal","Kodari,Nepal"
1.43E+12,27.7993,84.8715,13.61,5.1,"42 km WNW of Kirtipur, Nepal",
1.43E+12,28.238,85.829,10,5.1,"33 km NNW of Kodari, Nepal",
1.43E+12,28.0979,84.5594,10,5.2,"48 km NNE of Bharatpur, Nepal",
,,,,,,
1.43E+12,27.5866,85.5058,10,5.3,"0 km WNW of Panauti, Nepal",
1.43E+12,27.9351,84.6218,10,5,"33 km NNE of Bharatpur, Nepal",
1.43E+12,27.8172,85.5955,10,5,"13 km NNE of Nagarkot, Nepal",
1.43E+12,27.7219,86.0061,10,5.1,"26 km S of Kodari, Nepal",
1.43E+12,27.8822,85.7505,10,5.5,"22 km WSW of Kodari, Nepal",
1.43E+12,27.672,85.2009,10,5,"7 km W of Kirtipur, Nepal",
1.43E+12,28.2244,84.8216,10,6.6,"71 km NNE of Bharatpur, Nepal",
1.43E+12,27.7435,85.8302,10,5.1,"27 km SSW of Kodari, Nepal",
1.43E+12,27.687,85.5854,10,5,"7 km ESE of Nagarkot, Nepal",
1.43E+12,27.813,85.448,18,5.26,"12 km NNW of Nagarkot, Nepal",
1.43E+12,27.8006,85.1141,10,5.1,"21 km NW of Kirtipur, Nepal",
1.43E+12,28.2046,84.492,10,5.4,Nepal,
1.43E+12,27.6857,86.0213,10,5.6,"31 km SSE of Kodarii, Nepal",
1.43E+12,27.6285,85.5398,10,6.1,"0 km NNW of Dhulikhel, Nepal",
1.43E+12,28.2305,84.7314,8.22,7.8,"67 km NNE of Bharatpur, Nepal",
1.43E+12,28.8947,82.3938,10,5,"46 km SSE of Jumla, Nepal",
,,,,,,
1.48E+12,27.8015,86.5319,10,5.4,"17 km W of Namche Bazar, Nepal",
,,,,,,
,,,,,,
1.46E+12,27.9633,84.6943,16.72,5.1,"40 km NE of Bharatpur, Nepal",
1.45E+12,27.8782,85.3377,23.53,5.2,"19 km N of Kathmandu, Nepal",
1.51E+12,27.7618,86.1471,10,5,"28 km SE of Kodari, Nepal",
,,,,,,
,,,,,,
,,,,,,
1.57E+12,29.3228,81.1433,10,5,"20 km ENE of Dipayal, Nepal",
,,,,,,
1.60E+12,27.8464,85.8765,10,5.3,"14 km SSW of Kodari, Nepal",
,,,,,,
,,,,,,
1.62E+12,28.2785,84.3373,10,5.3,"36 km E of Pokhara, Nepal",
,,,,,,
,,,,,,
1.67E+12,29.3523,81.1777,10,5.2,"25 km ENE of Dipayal, Nepal",
1.67E+12,29.2917,81.1593,11,5.7,Nepal,
1.66E+12,27.1316,86.7827,10,5.1,"26 km W of Bhojpur, Nepal",
1.70E+12,28.8564,82.0652,10,5.3,"34 km E of Dailekh, Nepal",
1.70E+12,28.858,82.1531,12,5.7,"43 km E of Dailekh, Nepal",
1.70E+12,27.8879,84.7252,25.706,5.2,"36 km NE of Bharatpur, Nepal",
1.70E+12,29.5133,81.2055,10,5,"38 km NE of Dipayal, Nepal",
1.70E+12,29.4973,81.242,13,5.7,"39 km NE of Dipayal, Nepal",
1.68E+12,29.6212,81.5483,10,5.1,"72 km NE of Dipayal, Nepal",
1.67E+12,29.5825,81.6638,33.11,5.4,"60 km NW of Jumla, Nepal",
1.73E+12,29.4857,81.6129,10,5,"60 km WNW of Jumla, Nepal",
